BPR1,BPR2,PR_HPC,PR_IPC,PR_LPC,TIT,TSCOR,TSF,TSFC,TSNoxR,SFC
0.2059,0.2059,5.891,4.54,4.202,2021,0.03402,118.5,99.97,0.1805,0.12
0.2058,0.2058,5.89,4.539,4.201,2021,0.03397,118.9,99.71,0.18,0.1196
0.05,0.5707,8.253,2,7.505,2194,0.02799,124.8,99.94,0.1795,0.1199
0.2058,0.2058,5.888,4.538,4.201,2021,0.03392,119.2,99.44,0.1795,0.1193
0.2057,0.2057,5.887,4.537,4.2,2021,0.03387,119.6,99.18,0.1791,0.119
0.2057,0.2057,5.886,4.536,4.199,2020,0.03382,119.9,98.91,0.1786,0.1187
0.2056,0.2056,5.884,4.535,4.198,2020,0.03378,120.3,98.65,0.1781,0.1184
0.2056,0.2056,5.883,4.535,4.197,2020,0.03373,120.6,98.39,0.1777,0.1181
0.2055,0.2055,5.882,4.534,4.197,2020,0.03368,121,98.13,0.1772,0.1178
0.2054,0.2054,5.881,4.533,4.196,2020,0.03363,121.3,97.88,0.1767,0.1175
0.2054,0.2054,5.879,4.532,4.195,2020,0.03359,121.6,97.62,0.1763,0.1171
0.2053,0.2053,5.878,4.531,4.194,2020,0.03354,122,97.37,0.1758,0.1168
0.2053,0.2053,5.877,4.53,4.193,2020,0.0335,122.3,97.12,0.1754,0.1165
0.2052,0.2052,5.875,4.529,4.193,2020,0.03345,122.7,96.87,0.1749,0.1162
0.05,0.5679,8.242,2,7.485,2193,0.02746,128.6,97.26,0.1748,0.1167
0.2052,0.2052,5.874,4.528,4.192,2020,0.03341,123,96.62,0.1745,0.1159
0.2051,0.2051,5.873,4.527,4.191,2020,0.03336,123.4,96.38,0.1741,0.1157
0.205,0.205,5.871,4.526,4.19,2019,0.03332,123.7,96.13,0.1736,0.1154
0.205,0.205,5.87,4.526,4.189,2019,0.03327,124,95.89,0.1732,0.1151
0.2049,0.2049,5.869,4.525,4.189,2019,0.03323,124.4,95.65,0.1728,0.1148
0.2049,0.2049,5.868,4.524,4.188,2019,0.03319,124.7,95.41,0.1723,0.1145
0.2048,0.2048,5.866,4.523,4.187,2019,0.03315,125.1,95.17,0.1719,0.1142
0.2047,0.2047,5.865,4.522,4.186,2019,0.0331,125.4,94.93,0.1715,0.1139
0.2047,0.2047,5.864,4.521,4.185,2019,0.03306,125.7,94.7,0.1711,0.1136
0.2046,0.2046,5.862,4.52,4.185,2019,0.03302,126.1,94.46,0.1706,0.1134
0.05,0.5651,8.232,2,7.465,2192,0.02697,132.2,94.77,0.1703,0.1137
0.2046,0.2046,5.861,4.519,4.184,2019,0.03298,126.4,94.23,0.1702,0.1131
0.2045,0.2045,5.86,4.518,4.183,2019,0.03294,126.8,94,0.1698,0.1128
0.2045,0.2045,5.858,4.517,4.182,2019,0.0329,127.1,93.77,0.1694,0.1125
0.2044,0.2044,5.857,4.517,4.181,2018,0.03286,127.4,93.54,0.169,0.1122
0.2043,0.2043,5.856,4.516,4.181,2018,0.03282,127.8,93.31,0.1686,0.112
0.2043,0.2043,5.855,4.515,4.18,2018,0.03278,128.1,93.09,0.1682,0.1117
0.2042,0.2042,5.853,4.514,4.179,2018,0.03274,128.5,92.86,0.1678,0.1114
0.2042,0.2042,5.852,4.513,4.178,2018,0.0327,128.8,92.64,0.1674,0.1112
0.2041,0.2041,5.851,4.512,4.177,2018,0.03267,129.1,92.42,0.167,0.1109
0.204,0.204,5.849,4.511,4.177,2018,0.03263,129.5,92.2,0.1666,0.1106
0.05,0.5622,8.222,2,7.444,2192,0.02651,135.9,92.44,0.1662,0.1109
0.204,0.204,5.848,4.51,4.176,2018,0.03259,129.8,91.98,0.1662,0.1104
0.2039,0.2039,5.847,4.509,4.175,2018,0.03255,130.1,91.76,0.1658,0.1101
0.2039,0.2039,5.845,4.508,4.174,2018,0.03252,130.5,91.55,0.1654,0.1099
0.2038,0.2038,5.844,4.508,4.173,2017,0.03248,130.8,91.33,0.1651,0.1096
0.2038,0.2038,5.843,4.507,4.173,2017,0.03244,131.1,91.12,0.1647,0.1093
0.2037,0.2037,5.842,4.506,4.172,2017,0.03241,131.5,90.91,0.1643,0.1091
0.2036,0.2036,5.84,4.505,4.171,2017,0.03237,131.8,90.69,0.1639,0.1088
0.2036,0.2036,5.839,4.504,4.17,2017,0.03234,132.2,90.48,0.1636,0.1086
0.2035,0.2035,5.838,4.503,4.169,2017,0.0323,132.5,90.28,0.1632,0.1083
0.2035,0.2035,5.836,4.502,4.169,2017,0.03227,132.8,90.07,0.1628,0.1081
0.2034,0.2034,5.835,4.501,4.168,2017,0.03223,133.2,89.86,0.1624,0.1078
0.05,0.5594,8.212,2,7.424,2191,0.02609,139.5,90.25,0.1623,0.1083
0.2034,0.2034,5.834,4.5,4.167,2017,0.0322,133.5,89.66,0.1621,0.1076
0.2033,0.2033,5.832,4.499,4.166,2017,0.03217,133.8,89.45,0.1617,0.1073
0.2032,0.2032,5.831,4.498,4.165,2017,0.03213,134.2,89.25,0.1614,0.1071
0.2032,0.2032,5.83,4.498,4.165,2016,0.0321,134.5,89.05,0.161,0.1069
0.2031,0.2031,5.829,4.497,4.164,2016,0.03207,134.8,88.85,0.1606,0.1066
0.2031,0.2031,5.827,4.496,4.163,2016,0.03203,135.2,88.65,0.1603,0.1064
0.203,0.203,5.826,4.495,4.162,2016,0.032,135.5,88.45,0.1599,0.1061
0.2029,0.2029,5.825,4.494,4.161,2016,0.03197,135.8,88.26,0.1596,0.1059
0.2029,0.2029,5.823,4.493,4.161,2016,0.03194,136.2,88.06,0.1592,0.1057
0.2028,0.2028,5.822,4.492,4.16,2016,0.03191,136.5,87.87,0.1589,0.1054
0.05,0.5566,8.202,2,7.404,2190,0.0257,143.1,88.19,0.1586,0.1058
0.2028,0.2028,5.821,4.491,4.159,2016,0.03188,136.8,87.67,0.1585,0.1052
0.2027,0.2027,5.819,4.49,4.158,2016,0.03185,137.2,87.48,0.1582,0.105
0.2027,0.2027,5.818,4.489,4.157,2016,0.03182,137.5,87.29,0.1579,0.1047
0.2026,0.2026,5.817,4.489,4.157,2015,0.03179,137.8,87.1,0.1575,0.1045
0.2025,0.2025,5.816,4.488,4.156,2015,0.03176,138.1,86.91,0.1572,0.1043
0.2025,0.2025,5.814,4.487,4.155,2015,0.03173,138.5,86.72,0.1568,0.1041
0.2024,0.2024,5.813,4.486,4.154,2015,0.0317,138.8,86.53,0.1565,0.1038
0.2024,0.2024,5.812,4.485,4.153,2015,0.03167,139.1,86.35,0.1562,0.1036
0.2023,0.2023,5.81,4.484,4.153,2015,0.03164,139.5,86.16,0.1558,0.1034
0.2023,0.2023,5.809,4.483,4.152,2015,0.03161,139.8,85.98,0.1555,0.1032
0.2022,0.2022,5.808,4.482,4.151,2015,0.03158,140.1,85.8,0.1552,0.103
0.05,0.5537,8.192,2,7.384,2189,0.02533,146.7,86.26,0.1551,0.1035
0.2021,0.2021,5.806,4.481,4.15,2015,0.03155,140.5,85.61,0.1549,0.1027
0.2021,0.2021,5.805,4.48,4.149,2015,0.03153,140.8,85.43,0.1545,0.1025
0.202,0.202,5.804,4.48,4.149,2015,0.0315,141.1,85.25,0.1542,0.1023
0.202,0.202,5.803,4.479,4.148,2014,0.03147,141.4,85.07,0.1539,0.1021
0.2019,0.2019,5.801,4.478,4.147,2014,0.03144,141.8,84.9,0.1536,0.1019
0.2018,0.2018,5.8,4.477,4.146,2014,0.03142,142.1,84.72,0.1533,0.1017
0.2018,0.2018,5.799,4.476,4.145,2014,0.03139,142.4,84.54,0.153,0.1015
0.2017,0.2017,5.797,4.475,4.145,2014,0.03136,142.8,84.37,0.1526,0.1012
0.2017,0.2017,5.796,4.474,4.144,2014,0.03134,143.1,84.19,0.1523,0.101
0.2016,0.2016,5.795,4.473,4.143,2014,0.03131,143.4,84.02,0.152,0.1008
0.05,0.5509,8.182,2,7.364,2189,0.02499,150.2,84.43,0.1519,0.1013
0.2016,0.2016,5.793,4.472,4.142,2014,0.03129,143.7,83.85,0.1517,0.1006
0.2015,0.2015,5.792,4.471,4.141,2014,0.03126,144.1,83.68,0.1514,0.1004
0.2014,0.2014,5.791,4.471,4.141,2014,0.03124,144.4,83.51,0.1511,0.1002
0.2014,0.2014,5.79,4.47,4.14,2013,0.03121,144.7,83.34,0.1508,0.1
0.2013,0.2013,5.788,4.469,4.139,2013,0.03119,145,83.17,0.1505,0.0998
0.2013,0.2013,5.787,4.468,4.138,2013,0.03116,145.4,83,0.1502,0.0996
0.2012,0.2012,5.786,4.467,4.137,2013,0.03114,145.7,82.83,0.1499,0.0994
0.2011,0.2011,5.784,4.466,4.137,2013,0.03111,146,82.67,0.1496,0.0992
0.2011,0.2011,5.783,4.465,4.136,2013,0.03109,146.3,82.5,0.1493,0.099
0.201,0.201,5.782,4.464,4.135,2013,0.03107,146.7,82.34,0.149,0.0988
0.05,0.5481,8.172,2,7.343,2188,0.02468,153.7,82.7,0.1488,0.09924
0.201,0.201,5.78,4.463,4.134,2013,0.03104,147,82.17,0.1487,0.09861
0.2009,0.2009,5.779,4.462,4.133,2013,0.03102,147.3,82.01,0.1484,0.09841
0.2009,0.2009,5.778,4.462,4.133,2013,0.031,147.6,81.85,0.1482,0.09822
0.2008,0.2008,5.777,4.461,4.132,2013,0.03098,148,81.69,0.1479,0.09803
0.2007,0.2007,5.775,4.46,4.131,2012,0.03095,148.3,81.53,0.1476,0.09783
0.2007,0.2007,5.774,4.459,4.13,2012,0.03093,148.6,81.37,0.1473,0.09764
0.2006,0.2006,5.773,4.458,4.129,2012,0.03091,148.9,81.21,0.147,0.09745
0.2006,0.2006,5.771,4.457,4.129,2012,0.03089,149.3,81.05,0.1467,0.09726
0.2005,0.2005,5.77,4.456,4.128,2012,0.03087,149.6,80.9,0.1465,0.09707
0.2005,0.2005,5.769,4.455,4.127,2012,0.03085,149.9,80.74,0.1462,0.09689
0.05,0.5453,8.162,2,7.323,2187,0.02438,157.2,81.07,0.1459,0.09728
0.2004,0.2004,5.767,4.454,4.126,2012,0.03082,150.2,80.58,0.1459,0.0967
0.2003,0.2003,5.766,4.453,4.125,2012,0.0308,150.6,80.43,0.1456,0.09652
0.2003,0.2003,5.765,4.453,4.125,2012,0.03078,150.9,80.28,0.1454,0.09633
0.2002,0.2002,5.764,4.452,4.124,2012,0.03076,151.2,80.12,0.1451,0.09615
0.2002,0.2002,5.762,4.451,4.123,2011,0.03074,151.5,79.97,0.1448,0.09596
0.2001,0.2001,5.761,4.45,4.122,2011,0.03072,151.8,79.82,0.1445,0.09578
0.2,0.2,5.76,4.449,4.121,2011,0.0307,152.2,79.67,0.1443,0.0956
0.2,0.2,5.758,4.448,4.121,2011,0.03068,152.5,79.52,0.144,0.09542
0.1999,0.1999,5.757,4.447,4.12,2011,0.03066,152.8,79.37,0.1437,0.09524
0.1999,0.1999,5.756,4.446,4.119,2011,0.03064,153.1,79.22,0.1435,0.09506
0.1998,0.1998,5.754,4.445,4.118,2011,0.03063,153.4,79.07,0.1432,0.09489
0.05,0.5424,8.152,2,7.303,2186,0.02411,160.6,79.52,0.1431,0.09543
0.1998,0.1998,5.753,4.444,4.117,2011,0.03061,153.8,78.93,0.143,0.09471
0.1997,0.1997,5.752,4.444,4.117,2011,0.03059,154.1,78.78,0.1427,0.09454
0.1996,0.1996,5.751,4.443,4.116,2011,0.03057,154.4,78.63,0.1424,0.09436
0.1996,0.1996,5.749,4.442,4.115,2011,0.03055,154.7,78.49,0.1422,0.09419
0.1995,0.1995,5.748,4.441,4.114,2010,0.03053,155,78.35,0.1419,0.09401
0.1995,0.1995,5.747,4.44,4.113,2010,0.03052,155.4,78.2,0.1417,0.09384
0.1994,0.1994,5.745,4.439,4.113,2010,0.0305,155.7,78.06,0.1414,0.09367
0.1993,0.1993,5.744,4.438,4.112,2010,0.03048,156,77.92,0.1412,0.0935
0.1993,0.1993,5.743,4.437,4.111,2010,0.03046,156.3,77.78,0.1409,0.09333
0.1992,0.1992,5.741,4.436,4.11,2010,0.03045,156.6,77.64,0.1407,0.09316
0.05,0.5396,8.141,2,7.283,2186,0.02386,164,78.05,0.1405,0.09366
0.1992,0.1992,5.74,4.435,4.109,2010,0.03043,156.9,77.5,0.1404,0.09299
0.1991,0.1991,5.739,4.435,4.109,2010,0.03041,157.3,77.36,0.1402,0.09283
0.1991,0.1991,5.738,4.434,4.108,2010,0.0304,157.6,77.22,0.1399,0.09266
0.199,0.199,5.736,4.433,4.107,2010,0.03038,157.9,77.08,0.1397,0.09249
0.1989,0.1989,5.735,4.432,4.106,2009,0.03036,158.2,76.94,0.1394,0.09233
0.1989,0.1989,5.734,4.431,4.105,2009,0.03035,158.5,76.81,0.1392,0.09217
0.1988,0.1988,5.732,4.43,4.105,2009,0.03033,158.9,76.67,0.1389,0.092
0.1988,0.1988,5.731,4.429,4.104,2009,0.03031,159.2,76.53,0.1387,0.09184
0.1987,0.1987,5.73,4.428,4.103,2009,0.0303,159.5,76.4,0.1385,0.09168
0.1987,0.1987,5.728,4.427,4.102,2009,0.03028,159.8,76.26,0.1382,0.09152
0.05,0.5368,8.131,2,7.263,2185,0.02362,167.4,76.66,0.138,0.09199
0.1986,0.1986,5.727,4.426,4.101,2009,0.03027,160.1,76.13,0.138,0.09136
0.1985,0.1985,5.726,4.426,4.101,2009,0.03025,160.4,76,0.1377,0.0912
